姓名 | 出场 | 时间 | 投篮命中 | 投篮出手 | 投篮命中率 | 三分命中 | 三分出手 | 三分命中率 | 罚球命中 | 罚球出手 | 罚球命中率 | 篮板 | 助攻 | 抢断 | 盖帽 | 失误 | 犯规 | 得分
ZachRandolph | 59 | 25.4 | 6.1 | 12.9 | 0.473 | 0.9 | 2.5 | 0.345 | 1.4 | 1.8 | 0.785 | 6.7 | 2.2 | 0.71 | 0.17 | 1.97 | 2.02 | 14.6
BogdanBogdanovic | 79 | 27.7 | 4.5 | 10.0 | 0.44799999999999995 | 1.7 | 4.3 | 0.39799999999999996 | 1.3 | 1.5 | 0.835 | 2.9 | 3.3 | 0.92 | 0.20 | 1.62 | 2.19 | 11.9
DeAaronFox | 74 | 27.4 | 4.5 | 10.9 | 0.41100000000000003 | 0.6 | 2.1 | 0.303 | 1.9 | 2.6 | 0.723 | 2.8 | 4.4 | 0.95 | 0.27 | 2.36 | 2.20 | 11.5
WillieCauleyStein | 73 | 27.9 | 5.3 | 10.6 | 0.503 | 0.0 | 0.2 | 0.231 | 2.1 | 3.4 | 0.619 | 7.0 | 2.4 | 1.07 | 0.90 | 1.49 | 2.53 | 12.8
BuddyHield | 81 | 25.2 | 5.3 | 11.8 | 0.44799999999999995 | 2.2 | 5.2 | 0.43 | 0.9 | 1 | 0.877 | 3.8 | 2.0 | 1.09 | 0.27 | 1.56 | 1.86 | 13.7
JustinJackson | 51 | 23.5 | 2.8 | 6.1 | 0.455 | 0.8 | 2.7 | 0.302 | 0.4 | 0.5 | 0.769 | 3.1 | 1.3 | 0.49 | 0.22 | 0.53 | 1.27 | 6.8
HarryGilesIII | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
SkalLabissiere | 60 | 21.1 | 3.4 | 7.6 | 0.44799999999999995 | 0.3 | 0.8 | 0.353 | 1.6 | 2.0 | 0.805 | 4.8 | 1.2 | 0.42 | 0.82 | 1.22 | 2.20 | 8.7
FrankMason | 52 | 18.8 | 2.8 | 7.3 | 0.37799999999999995 | 0.6 | 1.7 | 0.36 | 1.8 | 2.2 | 0.8170000000000001 | 2.5 | 2.8 | 0.65 | 0.19 | 1.25 | 1.38 | 7.9
JackCooley | 7 | 12.3 | 1.9 | 3.9 | 0.48100000000000004 | 0 | 0 | 0.0 | 2.0 | 2.7 | 0.737 | 4.3 | 0.9 | 0.14 | 0 | 0.43 | 1.86 | 5.7
JaKarrSampson | 22 | 15.6 | 2.0 | 3.7 | 0.5429999999999999 | 0.2 | 0.5 | 0.5 | 0.5 | 0.7 | 0.625 | 3.5 | 0.4 | 0.36 | 1 | 0.36 | 2.18 | 4.7
MarvinBagley | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
KentBazemore | 65 | 27.4 | 4.4 | 10.4 | 0.42 | 1.7 | 4.2 | 0.39399999999999996 | 2.5 | 3.1 | 0.7959999999999999 | 3.8 | 3.5 | 1.54 | 0.69 | 2.42 | 2.26 | 12.9
DennisSchroder | 67 | 30.9 | 7.5 | 17.1 | 0.43700000000000006 | 1.1 | 3.9 | 0.29 | 3.4 | 4.0 | 0.8490000000000001 | 3.1 | 6.2 | 1.09 | 0.09 | 2.73 | 2.19 | 19.4
MilesPlumlee | 55 | 16.7 | 1.9 | 3.3 | 0.583 | 0 | 0 | 0.0 | 0.5 | 1.1 | 0.45 | 4.1 | 0.8 | 0.31 | 0.55 | 1.15 | 1.44 | 4.3
DewayneDedmon | 62 | 24.7 | 4.0 | 7.7 | 0.524 | 0.8 | 2.3 | 0.355 | 1.1 | 1.4 | 0.779 | 7.9 | 1.5 | 0.65 | 0.82 | 1.39 | 2.61 | 10.0
MikeMuscala | 53 | 19.9 | 2.7 | 5.9 | 0.457 | 1.2 | 3.2 | 0.371 | 1.1 | 1.2 | 0.919 | 4.3 | 1.0 | 0.58 | 0.51 | 0.79 | 1.51 | 7.6
TaureanPrince | 83 | 29.8 | 5.0 | 11.8 | 0.426 | 2.1 | 5.5 | 0.387 | 1.8 | 2.2 | 0.8440000000000001 | 4.7 | 2.6 | 1.04 | 0.51 | 2.31 | 2.05 | 14.0
JohnCollins | 75 | 24.0 | 4.3 | 7.4 | 0.5760000000000001 | 0.2 | 0.6 | 0.34 | 1.8 | 2.5 | 0.713 | 7.3 | 1.3 | 0.65 | 1.08 | 1.44 | 2.91 | 10.5
